Area,Crop,Soil,NDVI,Rainfall,Carbon
2.51,Sugarcane,Clay,0.88,772,2.56
2.19,Wheat,Loam,0.37,566,0.39
13.59,Millets,Loam,0.95,1300,10.07
5.5,Cotton,Sandy,0.91,809,1.94
4.47,Maize,Sandy,0.85,1150,3.15
12.8,Millets,Clay,0.87,1083,6.03
2.62,Sugarcane,Loam,0.46,438,0.95
11.53,Maize,Loam,0.81,622,6.27
8.53,Maize,Loam,0.83,1456,11.13
4.71,Millets,Sandy,0.48,845,0.76
1.53,Wheat,Loam,0.56,1499,1.08
3.05,Maize,Sandy,0.66,998,1.45
10.01,Millets,Loam,0.6,1415,5.1
8.17,Sugarcane,Clay,0.94,497,5.73
14.75,Wheat,Black,0.59,1320,8.85
8.96,Rice,Sandy,0.68,1472,5.74
6.78,Cotton,Loam,0.64,994,3.11
3.27,Maize,Black,0.94,1181,3.59
6.64,Rice,Loam,0.52,1351,4.48
11.99,Wheat,Clay,0.9,635,4.8
3.84,Maize,Sandy,0.46,627,0.8
9.53,Wheat,Sandy,0.78,507,2.11
10.3,Rice,Clay,0.43,919,3.26
4.08,Cotton,Loam,0.35,1134,1.17
3.44,Maize,Sandy,0.48,804,0.96
5.98,Rice,Loam,0.53,400,1.22
1.69,Cotton,Clay,0.4,1115,0.45
1.8,Maize,Sandy,0.51,676,0.45
13.19,Wheat,Loam,0.66,647,4.73
14.38,Maize,Sandy,0.69,335,2.39
13.83,Cotton,Clay,0.89,882,6.51
13.13,Sugarcane,Loam,0.64,418,6.32
8.62,Cotton,Sandy,0.38,568,0.89
9.78,Maize,Black,0.94,626,5.7
6.98,Cotton,Clay,0.77,549,1.77
10.73,Rice,Sandy,0.73,1279,6.41
1.19,Maize,Loam,0.43,452,0.25
12.72,Millets,Black,0.5,948,3.32
13.18,Millets,Clay,0.34,723,1.62
1.07,Millets,Black,0.71,857,0.36
1.69,Sugarcane,Clay,0.34,1330,1.15
3.89,Millets,Black,0.71,1204,1.83
12.7,Maize,Clay,0.46,356,1.87
9.68,Rice,Black,0.54,1121,5.16
7.02,Maize,Loam,0.54,824,3.37
8.21,Maize,Sandy,0.76,1108,4.98
7.31,Cotton,Sandy,0.4,1185,1.66
13.6,Sugarcane,Clay,0.8,834,13.61
6.68,Maize,Clay,0.85,525,2.68
4.61,Millets,Black,0.64,503,0.82
8.73,Millets,Sandy,0.67,797,1.86
9.73,Cotton,Loam,0.32,561,1.26
1.52,Wheat,Loam,0.93,775,0.92
3.82,Maize,Sandy,0.41,911,1.03
13.47,Rice,Clay,0.58,447,2.79
6.37,Cotton,Loam,0.61,811,2.27
4.18,Cotton,Clay,0.67,1039,1.75
9.17,Cotton,Sandy,0.46,1120,2.27
9.27,Maize,Black,0.43,681,2.69
10.76,Maize,Sandy,0.69,776,4.15
8.36,Millets,Clay,0.68,451,1.28
11.27,Sugarcane,Loam,0.62,1307,16.44
4.84,Sugarcane,Black,0.55,809,3.55
11.45,Sugarcane,Loam,0.39,1399,11.25
7.16,Millets,Black,0.58,786,1.8
14.0,Rice,Clay,0.44,642,3.16
4.73,Rice,Sandy,0.8,1131,2.74
5.66,Cotton,Black,0.56,898,1.88
14.27,Wheat,Sandy,0.51,1402,5.71
1.16,Cotton,Sandy,0.88,644,0.32
10.14,Rice,Black,0.42,726,2.72
14.76,Sugarcane,Clay,0.85,319,6.0
13.38,Wheat,Sandy,0.42,1041,3.28
10.78,Cotton,Loam,0.33,1399,3.58
1.38,Millets,Black,0.41,1347,0.42
2.42,Sugarcane,Black,0.88,1267,4.45
1.24,Rice,Loam,0.78,829,0.77
10.86,Maize,Clay,0.49,920,4.41
14.44,Maize,Sandy,0.75,1303,10.16
7.98,Millets,Loam,0.5,1305,3.12
8.72,Millets,Clay,0.5,539,1.18
3.49,Maize,Clay,0.75,356,0.84
8.91,Maize,Loam,0.62,783,4.67
10.5,Cotton,Clay,0.45,543,1.54
12.44,Millets,Black,0.31,1030,2.18
1.83,Rice,Clay,0.32,669,0.31
13.48,Rice,Sandy,0.86,961,7.13
10.92,Maize,Black,0.65,488,3.43
3.96,Sugarcane,Sandy,0.89,1414,5.98
2.1,Rice,Sandy,0.44,1066,0.63
10.08,Rice,Loam,0.36,317,1.1
7.26,Wheat,Sandy,0.65,321,0.85
1.96,Rice,Sandy,0.45,1175,0.66
12.69,Millets,Black,0.82,960,5.49
6.0,Rice,Loam,0.89,1050,5.38
11.89,Rice,Clay,0.88,321,2.69
7.93,Cotton,Sandy,0.95,440,1.59
2.47,Sugarcane,Clay,0.56,1315,2.73
10.23,Wheat,Sandy,0.7,674,2.7
4.7,Cotton,Clay,0.4,1414,1.59
1.2,Millets,Black,0.72,735,0.35
11.8,Sugarcane,Clay,0.5,1471,13.02
10.49,Wheat,Sandy,0.59,1174,4.07
11.98,Maize,Loam,0.4,846,4.38
8.23,Millets,Black,0.81,1371,5.03
10.15,Wheat,Loam,0.53,450,2.03
1.87,Rice,Loam,0.51,938,0.86
12.97,Cotton,Sandy,0.68,1208,5.11
13.6,Sugarcane,Black,0.48,676,7.28
5.76,Cotton,Sandy,0.86,955,2.27
6.11,Millets,Clay,0.93,1044,2.97
10.59,Rice,Sandy,0.51,1266,4.38
3.0,Rice,Sandy,0.95,710,1.3
10.03,Maize,Loam,0.55,1482,8.83
7.18,Sugarcane,Clay,0.9,603,5.84
12.22,Millets,Black,0.52,708,2.47
4.74,Millets,Black,0.3,358,0.28
12.35,Sugarcane,Loam,0.83,757,13.97
1.92,Maize,Black,0.33,1485,0.93
7.04,Cotton,Loam,0.91,1169,5.39
12.4,Sugarcane,Loam,0.61,1236,16.83
8.48,Millets,Clay,0.54,1339,3.07
1.96,Sugarcane,Loam,0.87,528,1.62
4.07,Rice,Sandy,0.79,1361,2.8
12.07,Rice,Sandy,0.88,632,4.3
4.66,Sugarcane,Sandy,0.58,900,2.92
6.36,Cotton,Sandy,0.31,965,0.91
10.29,Sugarcane,Loam,0.51,1389,13.12
8.09,Wheat,Black,0.35,1012,2.21
3.82,Maize,Sandy,0.73,1372,2.75
5.64,Millets,Sandy,0.74,347,0.58
4.86,Wheat,Loam,0.45,715,1.31
14.36,Cotton,Loam,0.38,369,1.45
7.59,Wheat,Black,0.41,1029,2.47
6.63,Cotton,Sandy,0.51,1086,1.76
7.92,Rice,Black,0.48,1165,3.9
13.67,Cotton,Black,0.89,550,4.42
6.68,Cotton,Clay,0.53,829,1.76
3.31,Rice,Sandy,0.87,718,1.32
3.25,Wheat,Clay,0.8,353,0.64
10.8,Wheat,Loam,0.34,457,1.41
7.52,Wheat,Black,0.48,1257,3.49
13.45,Millets,Clay,0.91,1362,8.34
3.72,Sugarcane,Black,0.48,899,2.65
7.0,Cotton,Clay,0.78,1058,3.47
5.74,Maize,Sandy,0.67,809,2.24
2.79,Rice,Loam,0.43,609,0.7
4.44,Wheat,Sandy,0.92,1205,2.76
10.72,Maize,Loam,0.3,689,2.39
11.68,Cotton,Loam,0.57,775,3.71
3.96,Cotton,Sandy,0.52,846,0.84
4.2,Cotton,Sandy,0.68,545,0.75
9.87,Sugarcane,Sandy,0.87,974,10.04
12.78,Rice,Black,0.79,387,3.44
11.62,Wheat,Black,0.77,1154,7.95
1.73,Maize,Black,0.41,809,0.57
9.4,Cotton,Black,0.71,943,4.15
3.69,Rice,Black,0.87,692,1.95
4.43,Maize,Sandy,0.72,727,1.67
4.54,Sugarcane,Black,0.71,817,4.35
5.78,Rice,Loam,0.53,504,1.48
5.22,Maize,Loam,0.37,823,1.72
6.4,Maize,Clay,0.79,340,1.55
9.71,Millets,Loam,0.82,974,4.65
13.82,Cotton,Sandy,0.52,690,2.38
6.21,Rice,Clay,0.53,971,2.56
7.12,Millets,Loam,0.73,1422,4.43
9.06,Rice,Black,0.33,1225,3.22
12.95,Sugarcane,Loam,0.45,1358,14.24
6.9,Sugarcane,Loam,0.94,1271,14.84
6.69,Sugarcane,Clay,0.74,532,3.95
1.6,Rice,Black,0.6,513,0.43
5.6,Sugarcane,Clay,0.87,647,4.73
13.95,Sugarcane,Sandy,0.63,1410,14.87
11.55,Millets,Sandy,0.41,1349,2.56
10.03,Cotton,Clay,0.46,1368,3.79
6.17,Maize,Sandy,0.37,1293,2.13
2.9,Millets,Black,0.82,740,0.97
14.72,Sugarcane,Black,0.76,300,5.54
13.2,Rice,Clay,0.56,1301,7.69
10.24,Rice,Sandy,0.84,509,2.8
6.96,Wheat,Loam,0.62,1233,4.47
2.49,Wheat,Black,0.68,838,1.09
6.0,Cotton,Sandy,0.73,586,1.23
7.77,Maize,Loam,0.54,703,3.19
8.5,Sugarcane,Sandy,0.73,445,3.31
7.91,Maize,Loam,0.66,571,3.22
1.14,Sugarcane,Sandy,0.84,1233,1.42
4.08,Rice,Loam,0.36,1251,1.76
10.89,Millets,Black,0.66,559,2.21
13.85,Cotton,Loam,0.84,894,7.49
7.23,Maize,Sandy,0.65,1189,4.02
5.28,Maize,Sandy,0.6,867,1.98
11.3,Maize,Clay,0.45,1213,5.55
10.16,Wheat,Black,0.58,672,3.05
6.52,Rice,Loam,0.71,525,2.33
5.73,Cotton,Clay,0.58,1335,2.66
7.11,Wheat,Clay,0.84,1307,5.46
5.65,Rice,Clay,0.7,736,2.33
8.51,Wheat,Clay,0.56,1339,4.47
13.92,Sugarcane,Black,0.74,412,7.0
3.33,Wheat,Sandy,0.58,1317,1.42
11.62,Millets,Sandy,0.9,1177,4.92
11.46,Sugarcane,Black,0.81,847,12.97
4.22,Maize,Sandy,0.51,1072,1.66
2.82,Sugarcane,Loam,0.89,1183,5.34
6.18,Millets,Black,0.57,1180,2.29
11.63,Maize,Black,0.82,1125,10.62
6.02,Cotton,Loam,0.35,441,0.67
3.15,Cotton,Loam,0.74,581,0.98
7.57,Rice,Loam,0.57,1035,4.29
5.94,Millets,Loam,0.81,947,2.73
4.17,Sugarcane,Loam,0.41,713,2.19
2.06,Sugarcane,Loam,0.56,932,1.94
4.15,Millets,Black,0.86,888,1.74
2.61,Millets,Loam,0.36,773,0.44
11.37,Cotton,Sandy,0.94,1155,5.93
6.97,Rice,Sandy,0.65,1343,3.89
9.09,Millets,Sandy,0.9,415,1.36
1.96,Sugarcane,Sandy,0.46,952,1.03
14.04,Millets,Clay,0.4,1218,3.42
6.49,Wheat,Black,0.7,302,1.06
14.45,Millets,Black,0.78,1463,9.07
5.25,Maize,Sandy,0.37,643,0.9
14.79,Maize,Black,0.61,690,6.16
6.28,Maize,Clay,0.73,808,3.33
6.08,Wheat,Loam,0.61,784,2.44
14.74,Rice,Sandy,0.92,704,6.11
12.76,Rice,Black,0.57,412,2.64
2.68,Rice,Clay,0.56,783,0.94
10.66,Wheat,Loam,0.36,903,2.91
8.77,Wheat,Sandy,0.66,1451,4.7
1.32,Rice,Black,0.49,1157,0.66
9.61,Millets,Black,0.65,767,2.64
13.56,Wheat,Sandy,0.88,824,5.51
13.54,Cotton,Black,0.42,656,2.46
5.08,Cotton,Black,0.59,1287,2.55
1.29,Sugarcane,Sandy,0.75,645,0.75
3.99,Cotton,Sandy,0.73,675,0.94
9.98,Millets,Clay,0.65,1126,3.65
10.35,Maize,Loam,0.94,587,6.17
4.11,Wheat,Black,0.62,992,1.95
13.7,Wheat,Loam,0.72,332,2.75
3.78,Rice,Black,0.61,1155,2.34
5.25,Millets,Loam,0.42,395,0.52
11.69,Rice,Black,0.93,886,8.48
3.86,Rice,Sandy,0.46,1048,1.19
1.12,Sugarcane,Clay,0.45,638,0.48
2.04,Millets,Sandy,0.87,1240,0.88
6.28,Cotton,Sandy,0.65,1062,2.08
1.25,Cotton,Clay,0.6,575,0.26
12.73,Sugarcane,Loam,0.7,1087,17.44
11.15,Maize,Clay,0.61,1034,6.33
13.45,Cotton,Clay,0.52,936,3.93
11.69,Millets,Loam,0.8,1193,6.69
1.29,Rice,Black,0.44,1332,0.67
6.28,Wheat,Clay,0.76,1364,4.56
3.75,Cotton,Sandy,0.52,1294,1.21
6.64,Rice,Loam,0.33,1351,2.84
7.49,Wheat,Loam,0.83,1329,6.94
10.73,Sugarcane,Clay,0.54,1069,9.29
2.53,Rice,Black,0.34,427,0.32
1.92,Sugarcane,Black,0.56,801,1.42
1.02,Cotton,Black,0.66,1121,0.5
6.42,Millets,Sandy,0.44,553,0.62
11.31,Rice,Clay,0.54,873,4.27
5.51,Sugarcane,Loam,0.64,1111,7.05
7.82,Maize,Clay,0.71,1361,6.8
2.11,Wheat,Sandy,0.74,1256,1.1
1.26,Sugarcane,Black,0.77,662,1.06
3.43,Wheat,Sandy,0.92,1320,2.33
11.71,Cotton,Black,0.82,1170,7.41
13.33,Cotton,Sandy,0.58,904,3.35
8.99,Cotton,Clay,0.39,1420,2.99
12.67,Millets,Loam,0.93,925,6.54
2.64,Rice,Black,0.48,1492,1.66
2.26,Sugarcane,Sandy,0.56,1002,1.52
11.45,Cotton,Sandy,0.89,919,4.5
13.73,Cotton,Clay,0.77,970,6.15
10.78,Cotton,Sandy,0.66,1134,3.87
9.22,Sugarcane,Loam,0.53,335,2.95
3.49,Sugarcane,Loam,0.56,1337,4.7
2.33,Cotton,Sandy,0.49,1284,0.7
5.88,Wheat,Black,0.82,739,2.74
13.24,Rice,Loam,0.73,707,6.56
6.68,Rice,Loam,0.53,735,2.5
12.76,Millets,Sandy,0.32,1267,2.07
13.33,Maize,Loam,0.89,1170,14.99
7.14,Maize,Black,0.66,309,1.44
3.4,Sugarcane,Sandy,0.39,1122,1.79
4.72,Maize,Loam,0.61,398,1.24
8.6,Maize,Sandy,0.47,1296,3.77
9.97,Wheat,Clay,0.85,554,3.29
11.62,Maize,Black,0.7,804,6.47
12.81,Rice,Black,0.88,1217,12.07
4.31,Rice,Clay,0.88,1393,4.23
11.01,Sugarcane,Black,0.64,1335,15.52
6.55,Maize,Black,0.43,776,2.16
6.41,Maize,Sandy,0.4,1068,1.97
13.07,Sugarcane,Black,0.55,611,7.25
11.61,Maize,Clay,0.41,1096,4.7
5.88,Cotton,Black,0.45,591,1.03
11.41,Maize,Sandy,0.52,599,2.56
12.48,Rice,Black,0.71,765,5.97
12.55,Wheat,Loam,0.83,352,3.08
14.43,Cotton,Sandy,0.5,1456,5.04
5.87,Rice,Sandy,0.78,328,0.96
11.34,Wheat,Black,0.69,794,4.78
11.9,Rice,Clay,0.55,520,2.72
10.22,Cotton,Black,0.69,1328,6.18
10.95,Cotton,Clay,0.8,1079,5.67
11.58,Maize,Clay,0.85,1156,10.24
14.43,Maize,Black,0.95,1381,18.74
11.46,Rice,Sandy,0.7,1408,7.23
6.42,Sugarcane,Black,0.77,355,2.9
10.11,Sugarcane,Clay,0.38,1095,6.31
2.44,Sugarcane,Loam,0.49,1216,2.62
2.16,Rice,Loam,0.71,1125,1.66
8.63,Millets,Sandy,0.72,326,0.81
8.23,Maize,Sandy,0.59,1128,3.94
3.92,Millets,Clay,0.42,1327,1.09
14.98,Maize,Sandy,0.65,544,3.81
11.73,Cotton,Clay,0.83,1400,8.18
14.56,Maize,Sandy,0.84,635,5.59
7.11,Millets,Clay,0.45,375,0.6
3.23,Sugarcane,Sandy,0.68,1093,2.88
5.98,Sugarcane,Black,0.45,1201,5.33
6.39,Cotton,Black,0.79,1232,4.1
12.03,Rice,Sandy,0.82,1427,9.01
14.37,Cotton,Black,0.95,1368,12.33
7.64,Cotton,Clay,0.35,1067,1.71
13.05,Millets,Black,0.89,366,2.34
13.81,Millets,Clay,0.83,1289,7.39
5.5,Wheat,Clay,0.72,381,1.06
10.44,Wheat,Black,0.43,1470,5.08
7.48,Wheat,Black,0.42,646,1.56
12.99,Wheat,Sandy,0.75,874,4.77
3.41,Cotton,Loam,0.69,489,0.83
3.61,Cotton,Sandy,0.87,993,1.5
8.36,Rice,Loam,0.57,988,4.52
4.75,Sugarcane,Black,0.86,416,2.8
7.98,Sugarcane,Clay,0.95,683,7.77
1.79,Rice,Black,0.94,1293,1.91
9.54,Wheat,Loam,0.54,1123,4.86
8.77,Cotton,Sandy,0.62,753,1.97
11.96,Millets,Loam,0.75,578,3.11
3.28,Sugarcane,Loam,0.34,534,1.07
14.7,Maize,Sandy,0.71,768,5.77
8.94,Cotton,Black,0.67,1416,5.6
12.42,Rice,Sandy,0.86,998,6.82
10.6,Maize,Sandy,0.7,567,3.03
10.81,Cotton,Sandy,0.68,723,2.55
6.87,Millets,Loam,0.49,901,1.82
7.58,Maize,Loam,0.67,1259,6.91
13.41,Cotton,Clay,0.62,906,4.52
11.1,Sugarcane,Black,0.53,638,6.19
8.62,Cotton,Black,0.86,1459,7.14
5.86,Millets,Sandy,0.76,1026,1.83
3.0,Sugarcane,Clay,0.82,884,3.26
3.07,Cotton,Black,0.39,756,0.6
13.55,Sugarcane,Loam,0.83,1497,30.3
2.16,Rice,Black,0.74,1099,1.55
5.25,Cotton,Black,0.6,1045,2.17
3.45,Millets,Clay,0.65,549,0.62
2.61,Rice,Sandy,0.41,506,0.35
9.7,Sugarcane,Clay,0.89,1373,17.78
10.25,Rice,Sandy,0.72,955,4.51
1.25,Wheat,Clay,0.76,808,0.54
13.18,Wheat,Sandy,0.65,346,1.66
11.18,Rice,Black,0.52,588,3.01
10.95,Wheat,Sandy,0.52,1443,4.6
1.76,Cotton,Clay,0.46,1011,0.49
11.31,Maize,Black,0.8,333,2.98
4.83,Rice,Black,0.68,446,1.29
5.38,Sugarcane,Clay,0.35,478,1.35
9.38,Millets,Sandy,0.36,362,0.49
13.25,Sugarcane,Clay,0.51,346,3.51
4.92,Millets,Clay,0.77,686,1.3
7.3,Sugarcane,Loam,0.38,1399,6.99
3.85,Millets,Black,0.37,890,0.7
8.93,Millets,Loam,0.39,681,1.42
5.34,Maize,Clay,0.39,843,1.58
12.7,Wheat,Loam,0.49,975,5.1
7.9,Rice,Black,0.72,1002,5.02
2.96,Sugarcane,Black,0.76,850,3.16
5.62,Wheat,Sandy,0.94,1480,4.38
10.48,Cotton,Sandy,0.65,414,1.35
9.39,Millets,Sandy,0.69,379,0.98
14.76,Sugarcane,Sandy,0.73,1087,14.05
12.84,Rice,Loam,0.48,435,2.57
3.74,Millets,Sandy,0.38,373,0.21
13.32,Millets,Black,0.51,1288,4.81
2.1,Millets,Sandy,0.36,799,0.24
1.74,Millets,Black,0.83,374,0.3
14.41,Millets,Black,0.81,1402,9.0
2.59,Maize,Clay,0.49,1404,1.6
6.09,Rice,Loam,0.5,1156,3.38
13.12,Millets,Clay,0.61,1092,4.37
8.28,Cotton,Sandy,0.84,1424,4.75
9.95,Cotton,Sandy,0.71,1099,3.73
2.27,Sugarcane,Black,0.88,1066,3.51
12.13,Wheat,Loam,0.93,1434,13.59
9.95,Millets,Clay,0.83,1148,4.74
11.93,Rice,Clay,0.61,758,4.41
7.13,Cotton,Loam,0.64,1187,3.9
9.6,Wheat,Clay,0.74,1462,7.27
11.95,Rice,Black,0.48,372,1.88
5.05,Rice,Black,0.36,1120,1.79
3.3,Cotton,Sandy,0.76,640,0.77
5.65,Cotton,Clay,0.58,1235,2.43
7.2,Wheat,Clay,0.62,850,2.66
5.0,Wheat,Black,0.62,504,1.2
1.13,Millets,Loam,0.37,1389,0.35
2.61,Wheat,Loam,0.74,1136,1.84
11.05,Cotton,Loam,0.63,1438,7.21
5.78,Wheat,Black,0.65,567,1.64
8.74,Sugarcane,Loam,0.53,835,6.96
4.36,Wheat,Clay,0.58,1402,2.48
7.7,Millets,Clay,0.85,1151,3.77
13.56,Millets,Sandy,0.5,418,1.13
3.01,Millets,Loam,0.39,950,0.67
11.07,Cotton,Clay,0.67,1336,5.95
4.24,Cotton,Sandy,0.86,918,1.61
2.17,Millets,Sandy,0.92,799,0.64
7.47,Sugarcane,Loam,0.69,930,8.63
14.49,Wheat,Loam,0.84,1461,14.94
13.77,Wheat,Black,0.68,729,5.26
14.36,Millets,Loam,0.6,956,4.94
13.6,Sugarcane,Sandy,0.44,568,4.08
5.3,Rice,Sandy,0.32,1476,1.6
14.9,Rice,Sandy,0.32,1184,3.61
5.66,Millets,Black,0.52,1477,2.39
2.19,Maize,Black,0.82,1311,2.33
2.42,Rice,Loam,0.61,1317,1.87
3.21,Rice,Clay,0.53,528,0.72
7.24,Sugarcane,Sandy,0.8,1402,9.74
9.99,Millets,Loam,0.69,1460,6.04
11.04,Millets,Clay,0.68,1421,5.33
8.58,Millets,Loam,0.91,517,2.42
7.09,Millets,Loam,0.94,339,1.36
10.4,Sugarcane,Sandy,0.34,1023,4.34
1.13,Maize,Loam,0.75,511,0.47
7.14,Millets,Sandy,0.73,1467,3.06
8.98,Maize,Black,0.56,397,1.98
2.04,Maize,Sandy,0.77,999,1.13
1.78,Cotton,Sandy,0.52,1403,0.62
10.63,Wheat,Loam,0.81,914,6.61
9.02,Sugarcane,Loam,0.4,805,5.23
9.44,Wheat,Clay,0.7,1273,5.89
14.97,Cotton,Sandy,0.86,1310,8.1
5.21,Wheat,Sandy,0.34,351,0.35
8.72,Maize,Black,0.6,1137,5.89
12.14,Rice,Black,0.38,1472,5.98
12.04,Wheat,Black,0.9,1440,12.01
4.06,Cotton,Black,0.4,569,0.61
10.88,Maize,Loam,0.36,1147,4.85
14.39,Maize,Clay,0.84,1321,14.37
13.45,Wheat,Sandy,0.74,550,3.07
1.52,Maize,Black,0.4,1421,0.86
12.2,Millets,Clay,0.5,1498,4.57
9.25,Rice,Clay,0.77,688,3.92
8.9,Maize,Sandy,0.69,1163,5.14
2.9,Rice,Black,0.7,769,1.37
3.9,Wheat,Sandy,0.79,1447,2.5
6.7,Maize,Sandy,0.8,813,3.14
14.24,Millets,Black,0.95,363,2.7
12.15,Cotton,Loam,0.58,833,4.23
14.54,Cotton,Black,0.85,594,4.85
8.46,Wheat,Loam,0.7,467,2.32
13.9,Wheat,Black,0.68,960,6.99
5.15,Sugarcane,Loam,0.56,369,1.92
9.55,Sugarcane,Sandy,0.44,628,3.17
10.81,Wheat,Black,0.85,505,3.57
1.56,Sugarcane,Black,0.94,1483,3.59
5.66,Cotton,Loam,0.38,776,1.2
14.07,Cotton,Loam,0.71,1062,7.64
7.78,Cotton,Sandy,0.54,818,1.65
7.04,Maize,Loam,0.41,989,3.08
6.18,Maize,Loam,0.66,993,4.37
2.84,Wheat,Sandy,0.79,1321,1.66
5.47,Wheat,Loam,0.51,725,1.7
10.16,Cotton,Sandy,0.33,991,1.59
1.91,Wheat,Loam,0.53,1459,1.24
4.19,Sugarcane,Black,0.38,904,2.37
11.55,Cotton,Black,0.57,1118,4.86
12.12,Sugarcane,Clay,0.87,1436,22.71
11.9,Rice,Black,0.49,785,4.03
6.32,Wheat,Sandy,0.77,586,1.6
3.37,Millets,Clay,0.91,397,0.61
13.99,Millets,Black,0.31,1067,2.55
14.06,Sugarcane,Sandy,0.47,966,7.66
7.31,Maize,Clay,0.86,709,4.01
9.15,Cotton,Clay,0.82,1387,6.24
1.15,Sugarcane,Black,0.32,720,0.44
14.1,Rice,Clay,0.87,963,9.45
8.36,Rice,Clay,0.84,801,4.5
8.33,Millets,Sandy,0.41,503,0.69
8.09,Rice,Black,0.45,881,2.82
12.22,Sugarcane,Clay,0.87,1322,21.08
3.89,Wheat,Clay,0.42,1460,1.67
6.75,Sugarcane,Loam,0.61,340,2.52
1.79,Millets,Sandy,0.3,1392,0.3
3.03,Maize,Clay,0.55,403,0.6
14.06,Millets,Sandy,0.73,1408,5.78
4.72,Cotton,Black,0.3,356,0.33
9.85,Millets,Clay,0.52,1072,2.75
9.94,Maize,Clay,0.73,378,2.47
5.49,Maize,Clay,0.85,1045,4.39
1.5,Maize,Loam,0.69,1275,1.43
14.59,Sugarcane,Loam,0.35,1107,10.18
11.06,Sugarcane,Loam,0.81,726,11.71
12.79,Rice,Clay,0.82,934,7.84
5.53,Maize,Loam,0.92,1001,5.5
9.49,Millets,Clay,0.87,672,2.77
6.82,Cotton,Loam,0.45,474,1.05
13.98,Cotton,Clay,0.55,830,3.83
10.07,Sugarcane,Clay,0.65,1294,12.7
4.63,Millets,Black,0.95,1010,2.44
10.62,Wheat,Black,0.44,367,1.32
10.92,Wheat,Loam,0.39,447,1.6
5.27,Wheat,Sandy,0.42,1016,1.26
2.7,Millets,Sandy,0.74,1456,1.16
3.89,Sugarcane,Sandy,0.41,1263,2.42
9.1,Rice,Clay,0.47,1151,3.94
5.77,Maize,Sandy,0.7,1218,3.54
10.72,Cotton,Sandy,0.35,1152,2.07
6.74,Millets,Sandy,0.78,1228,2.58
2.6,Wheat,Loam,0.33,1300,0.94
6.44,Sugarcane,Clay,0.68,498,3.27
3.37,Rice,Sandy,0.74,1240,1.98
4.38,Rice,Sandy,0.61,821,1.4
9.06,Rice,Black,0.55,662,2.9
8.57,Rice,Black,0.44,1491,4.95
14.85,Wheat,Black,0.93,1094,11.63
8.63,Maize,Sandy,0.43,746,1.99
9.42,Sugarcane,Clay,0.94,874,11.61
3.02,Cotton,Clay,0.35,926,0.59
14.26,Wheat,Sandy,0.75,343,2.05
8.55,Sugarcane,Clay,0.91,387,4.52
4.72,Millets,Sandy,0.73,1363,1.88
3.82,Millets,Black,0.82,1436,2.47
14.49,Wheat,Sandy,0.38,1127,3.48
4.9,Sugarcane,Black,0.8,1144,7.4
11.15,Millets,Clay,0.33,485,0.89
14.78,Millets,Clay,0.64,1400,6.62
14.52,Rice,Sandy,0.31,402,1.16
2.21,Maize,Loam,0.51,1390,1.69
6.43,Rice,Black,0.67,346,1.31
4.74,Rice,Loam,0.59,560,1.5
1.16,Cotton,Sandy,0.34,1491,0.28
10.08,Millets,Loam,0.31,640,1.2
4.3,Cotton,Black,0.79,766,1.72
6.89,Cotton,Loam,0.82,1140,4.64
6.57,Maize,Black,0.62,504,2.03
11.2,Rice,Loam,0.57,1077,6.6
2.52,Rice,Loam,0.82,1108,2.2
7.04,Sugarcane,Black,0.61,1065,7.55
9.05,Rice,Sandy,0.73,1140,4.82
2.29,Cotton,Clay,0.43,376,0.22
12.25,Cotton,Clay,0.94,748,5.17
12.73,Maize,Sandy,0.45,892,3.68
9.49,Rice,Clay,0.56,1349,5.74
10.74,Millets,Black,0.69,1251,5.1
14.49,Maize,Loam,0.46,655,4.72
5.3,Sugarcane,Sandy,0.62,1370,5.4
3.6,Wheat,Black,0.64,318,0.56
6.9,Maize,Sandy,0.9,680,3.04
12.68,Wheat,Loam,0.92,426,4.17
11.69,Millets,Black,0.49,1097,3.46
6.58,Rice,Black,0.83,1007,4.84
7.61,Maize,Loam,0.45,595,2.2
8.37,Millets,Sandy,0.82,817,2.24
9.6,Wheat,Sandy,0.78,1389,5.82
5.01,Rice,Loam,0.3,1342,1.94
10.37,Millets,Loam,0.88,636,3.48
9.43,Maize,Clay,0.55,1435,6.7
6.47,Sugarcane,Sandy,0.71,979,5.4
12.45,Sugarcane,Sandy,0.58,583,5.05
7.7,Rice,Sandy,0.31,887,1.36
4.62,Cotton,Loam,0.77,1471,3.77
5.18,Cotton,Black,0.68,757,1.76
2.96,Maize,Sandy,0.32,612,0.42
6.52,Cotton,Black,0.72,1159,3.59
9.39,Sugarcane,Black,0.34,375,1.98
7.83,Wheat,Black,0.74,1120,5.0
8.34,Maize,Loam,0.54,1078,5.24
13.73,Wheat,Sandy,0.39,1218,3.65
9.66,Rice,Sandy,0.78,1458,7.03
14.34,Sugarcane,Black,0.87,761,15.67
11.89,Maize,Loam,0.47,1003,6.05
6.89,Wheat,Sandy,0.37,673,0.96
1.74,Maize,Clay,0.45,340,0.24
8.24,Rice,Black,0.92,427,2.85
4.43,Wheat,Black,0.72,1147,2.82
8.37,Cotton,Loam,0.59,1336,4.75
1.43,Millets,Loam,0.77,1397,0.92
11.6,Millets,Loam,0.46,367,1.17
3.62,Maize,Black,0.65,1228,2.86
1.28,Rice,Loam,0.72,1143,1.01
